,location,year,type_simple,type_detail,cand1_name,cand2_name,electiondate,cand1_actual,cand2_actual
202,MI-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,59.5131198604986,35.91184206242109
203,MI-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,45.69346846693339,50.24434463157464
204,MI-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,46.20416186538331,53.795838134616695
205,MI-8,2018,House-G,House-G,Democrat,Republican,11/6/2018,50.60993638628426,46.77554867927621
206,MI-9,2018,House-G,House-G,Democrat,Republican,11/6/2018,59.67041301799628,36.81438651444857
207,MI-10,2018,House-G,House-G,Democrat,Republican,11/6/2018,34.99623841828788,60.31993242351451
208,MI-11,2018,House-G,House-G,Democrat,Republican,11/6/2018,51.841402560836244,45.158890969247736
209,MI-12,2018,House-G,House-G,Democrat,Republican,11/6/2018,68.0817844875572,28.888971856035404
210,MI-13,2018,House-G,House-G,Democrat,Republican,11/6/2018,84.2362925944605,0
211,MI-14,2018,House-G,House-G,Democrat,Republican,11/6/2018,80.88258602081557,17.320769526857212
212,MN-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,49.67582227311845,50.126688175655985
213,MN-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,52.655280973346585,47.14765894995976
214,MN-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,55.61328647695144,44.19273030012447
215,MN-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,65.99384079801834,29.74523300894058
216,MN-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,77.96614612154077,21.679995806126552
217,MN-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,38.7462546638541,61.10709919360458
218,MN-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,52.10206423240464,47.837902162985905
219,MN-8,2018,House-G,House-G,Democrat,Republican,11/6/2018,45.17664881242223,50.71878451104512
220,MO-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,80.1024145785877,16.716902050113898
221,MO-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,47.22867794482883,51.181707466242635
